malId|malScore|popularity|favorites
1126|6.89|2632|23
1129|7.08|1026|2
1131|7.62|18674|425
1132|6.8|847|4
1133|8.68|128115|9764
1135||388|1
1136|6.66|586|1
1137|6.78|1104|0
1138|7|571|0
1139|6.89|863|4
1140||576|3
1142|6.87|7320|29
1143|6.94|8887|82
1144|6.14|2534|7
1145|6.41|2590|4
1146|6.87|2129|25
1147|6.37|6636|37
1148|7.69|5091|69
1149|8.11|34243|1668
1150|6.96|1170|15
1151|7.08|712|6
1152|7.14|617|5
1153|7.37|11200|357
1154|7.32|10865|185
1155|7.51|15975|419
1156|7.56|3034|126
1157|7.2|997|1
1158|7.92|9634|132
1159||218|6
1160|7.06|1240|7
1161|7.78|12164|267
1162|7.79|43020|1071
1163|6.81|1269|2
1164|7.11|1661|4
1165|6.9|2993|8
1166|6.95|1288|5
1167|7.11|988|1
1168|6.6|695|1
1169||221|2
1170|7.38|1675|35
1171|7.6|1976|41
1172|6.73|655|0
1173|6.9|455|0
1174||188|0
1175||362|3
1178|6.23|1650|1
1179|5.68|994|3
1181|7.42|1536|1
1182|6.67|465|0
1183|8.47|17987|747
1184|8.06|5598|128
1185|7.82|7186|104
1186|6.72|472|1
1187|6.48|1700|0
1188|6.78|385|2
1189|7.68|3679|60
1190|6.72|2410|24
1191|7.33|9838|55
1192|6.68|530|1
1193|7.45|6970|84
1194|7.59|8319|169
1195|6.97|1156|5
1196|6.51|924|0
1197|6.72|396|10
1198|7.22|4195|16
1199|8.2|21024|1140
1200|7.43|5065|14
1201|7.53|2889|15
1202|7.24|9178|112
1203|6.9|1491|3
1204|6.9|1487|7
1205|7.09|823|4
1207|7.73|3567|78
1208|8.27|7695|279
1211|8.07|15538|211
1212|6.88|384|4
1213|7.18|8275|180
1214|6.82|551|1
1215|7.31|8989|100
1216|8.04|9166|263
1217|7.15|6267|26
1218|8.08|9602|302
1219|6.8|1901|8
1221|6.22|2164|1
1222|7.77|1568|42
1223|7.27|3084|75
1224|8.91|53830|3580
1225|7.27|2822|22
1226|6.85|1087|4
1227|7.63|2335|54
1228|6.57|2089|33
1229|7.24|2859|43
1230|6.5|10430|188
1231|7.47|1933|36
1232||51|1
1234|6.76|788|1
1235|6.15|1455|1
1236|6.45|599|3
1237|7.57|16192|363
1238|7.11|7196|123
1239|7.04|4508|70
1240|7.18|2473|21
1241|7.11|1475|10
1242|7.33|10370|94
1243|6.93|700|4
1244|7.52|4671|45
1245|6.89|593|4
1248|7.32|4709|78
1249|7.25|4377|71
1250|8|16786|430
1252|7.11|645|0
1253|7.65|3683|144
1254|6.86|1395|9
1255|7.66|5444|95
1256|7.05|994|6
1257|8.16|22384|584
1258|8.18|15635|224
1259|7.3|985|20
1260|8.08|12300|125
1261|7.91|11910|98
1262|8.31|12952|314
1263|8.3|10579|205
1264|7.84|6407|85
1265|7.75|8392|48
1266|7.03|3333|7
1267|7.91|11164|204
1268|7.7|18942|462
1269|7.43|1328|8
1270|7.6|3451|37
1271|7.93|38981|1079
1272|6.87|413|1
1273|7.33|2709|7
1274|7.39|10545|166
1275|7.77|3364|27
1276|6.53|1913|4
1277|6.84|1247|16
1281||123|1
1282|7.39|12879|159
1285|6.97|3740|32
1288|6.32|14366|214
1289||343|2
1291|7.01|12324|181
1292|6.98|1791|14
1293|7.61|3277|63
1294|7.07|1175|17
1296|6.86|1506|4
1297|8.14|10340|197
1298|7.57|4489|58
1299|7.63|11065|210
1300|7.06|3145|18
1302|7.32|4881|31
1303|8.95|39452|3441
1304|7.15|4585|20
1305|6.9|752|22
1306|7.08|1165|12
1309|6.59|420|1
1310|7.25|1903|15
1311|7.37|1275|6
1313|8.02|5698|121
1314|6.42|761|3
1315|8.23|8966|310
1316|6.84|865|1
1317||80|0
1318|6.66|1226|19
1319|7.74|9242|410
1320|8.08|10846|315
1321|6.89|989|1
1322|7.12|4666|130
1323|6.91|1308|3
1324|6.52|3405|16
1325|8.55|17440|588
1326|7.49|4360|10
1329|7.47|8058|50
1331|7.46|7417|103
1332|7.57|1459|33
1333|6.48|4500|11
1334|6.98|4541|15
1337|6.65|3526|22
1339|7.12|20118|249
1340|7.98|10206|161
1341|7.46|6961|38
1342|8.56|17155|441
1343|7.02|1446|21
1344|7.8|4957|88
1345|7.74|16085|676
1347|7.15|2593|33
1348|7.17|2789|71
1349|7.93|31565|1426
1350|7.52|2142|26
1351|7.84|11077|237
1354|6.76|2189|16
1355|7.81|3104|79
1356|7.15|548|6
1357|7.04|352|1
1358|7.05|439|4
1359|6.56|1036|31
1360|7.91|3989|108
1361||157|5
1362|8.03|5974|333
1363|7.71|16005|508
1364|7.19|1145|5
1365|8.11|6787|251
1366|7.13|825|6
1367||317|1
1368|6.16|312|0
1369|6.63|484|1
1371|6.02|2495|12
1372|7.47|2263|22
1373|7.57|38906|984
1375|6.83|1122|2
1376|7.88|17160|224
1377|7.05|615|0
1379|7.49|4131|31
1380|6.86|384|0
1382|6.73|940|0
1383|7.12|5004|20
1384|6.99|1039|7
1385|7.16|1617|12
1386|6.73|2185|1
1387|7.21|2065|13
1388|8|3765|151
1389|6.89|2659|13
1391|7.38|6815|123
1392|6.31|234|1
1393|6.62|409|1
1394|7.01|8458|120
1395|7.01|1891|7
1397|7.84|11095|349
1398|7.58|11463|128
1399|6.96|1457|14
